amoblado,bathroom,baulera,bedroom,dimension,garage,latitud,longitud,neighborhood,price,status,type_offer,year_built,riesgo
0,4.0,0,4.0,216,2,-16.562834,-68.10494200000001,Mallasilla,219000.0,1,Venta,2019.0,alto
1,4.0,0,3.0,325,2,-16.507460000000002,-68.041359,Achumani,140000.0,2,Venta,,alto
0,4.0,0,11.0,310,1,-16.512894,-68.120224,San Jorge,420000.0,2,Venta,1959.0,muy bajo
0,3.0,0,3.0,308,3,-16.549068,-68.073402,Auquisamaña,250000.0,2,Venta,1999.0,bajo
0,5.0,0,5.0,430,3,-16.525328,-68.061653,Achumani,260000.0,1,Venta,2019.0,alto
0,3.0,0,4.0,308,2,-16.563323999999998,-68.105347,Mallasilla,252000.0,1,Venta,2019.0,alto
0,5.0,0,5.0,371,2,-16.541605,-68.057381,Cota Cota,320000.0,2,Venta,,moderado
0,6.0,0,4.0,580,2,-16.569693,-68.098495,Mallasilla,1000000.0,2,Venta,,alto
0,3.0,0,3.0,190,2,-16.514442000000003,-68.054077,Achumani,188000.0,1,Venta,2019.0,alto
0,6.0,0,5.0,380,4,-16.568037,-68.101189,Mallasilla,328000.0,2,Venta,2015.0,alto
0,4.0,0,4.0,560,0,-16.502979,-68.082169,Irpavi,255000.0,2,Venta,,moderado
0,6.0,0,4.0,380,4,-16.528793,-68.085922,Irpavi,395000.0,2,Venta,,moderado
0,5.0,0,3.0,300,3,-16.50296,-68.081078,Irpavi,248000.0,2,Venta,2014.0,moderado
0,5.0,0,4.0,300,3,-16.559654000000002,-68.10165400000001,Aranjuez,359000.0,2,Venta,,moderado
0,3.0,0,4.0,377,1,-16.536493,-68.102615,Seguencoma,270000.0,2,Venta,,bajo
0,3.0,0,4.0,378,1,-16.511305,-68.08064300000001,Alto Irpavi,139000.0,1,Venta,,bajo
0,4.0,0,5.0,350,3,-16.527548,-68.105324,Obrajes,530000.0,2,Venta,,bajo
0,2.0,0,4.0,240,1,-16.522011,-68.09025600000001,Bolognia,215000.0,2,Venta,,bajo
0,4.0,0,3.0,423,3,-16.539234,-68.08671600000001,Calacoto,510000.0,1,Venta,2017.0,bajo
0,6.0,0,4.0,360,3,-16.516603,-68.061501,Achumani,630000.0,2,Venta,2008.0,alto
0,5.0,0,4.0,500,4,-16.540155,-68.085892,Calacoto,850000.0,1,Venta,2001.0,bajo
0,6.0,0,4.0,1461,3,-16.542698,-68.062912,Cota Cota,980000.0,2,Venta,2000.0,moderado
0,5.0,0,5.0,433,1,-16.502962,-68.117294,Miraflores,370000.0,2,Venta,,muy bajo
0,4.0,0,5.0,250,3,-16.514275,-68.051361,Achumani,169000.0,1,Venta,2019.0,alto
