amoblado,bathroom,baulera,bedroom,dimension,garage,latitud,longitud,neighborhood,price,status,type_offer,year_built,riesgo
0,4.0,0,3.0,200,1,-16.542147,-68.083687,Calacoto,210000.0,1,Venta,2017.0,bajo
0,2.0,0,1.0,60,1,-16.514936,-68.061073,Achumani,94500.0,1,Venta,2019.0,alto
0,3.0,0,3.0,124,1,-16.564905,-68.099739,Mallasilla,108000.0,1,Venta,2018.0,alto
0,5.0,0,5.0,284,1,-16.524008,-68.08422900000001,Irpavi,235000.0,2,Venta,,moderado
0,1.0,0,1.0,62,1,-16.536427,-68.099419,Seguencoma,65000.0,2,Venta,,bajo
0,4.0,0,3.0,120,1,-16.54468,-68.070724,Los Pinos,130000.0,1,Venta,2019.0,moderado
0,3.0,0,4.0,144,1,-16.56489,-68.099785,Mallasilla,121000.0,1,Venta,2018.0,alto
0,3.0,0,4.0,255,1,-16.540277,-68.069763,Cota Cota,230000.0,2,Venta,,moderado
0,3.0,0,3.0,116,1,-16.514557,-68.086945,Irpavi,116820.0,2,Venta,,moderado
0,2.0,0,3.0,104,1,-16.502548,-68.125237,Miraflores,130000.0,2,Venta,,muy bajo
0,4.0,0,3.0,120,1,-16.542938,-68.07294499999999,Los Pinos,135000.0,1,Venta,,moderado
0,4.0,0,3.0,120,1,-16.544624,-68.070885,Los Pinos,135000.0,1,Venta,2019.0,moderado
0,4.0,0,3.0,174,1,-16.540649,-68.06749,Cota Cota,135000.0,2,Venta,,moderado
0,1.0,0,1.0,62,1,-16.544626,-68.08142099999999,Calacoto,62800.0,1,Venta,2017.0,bajo
0,6.0,0,3.0,265,2,-16.512096,-68.12133,San Jorge,260000.0,1,Venta,2003.0,muy bajo
0,3.0,0,2.0,120,1,-16.516527,-68.061691,Achumani,117500.0,2,Venta,,alto
0,3.0,0,2.0,99,1,-16.517104999999997,-68.061432,Achumani,119000.0,2,Venta,2015.0,alto
0,4.0,0,3.0,208,2,-16.547512,-68.052734,El Pedregal,195000.0,2,Venta,,alto
0,4.0,0,3.0,165,1,-16.539270000000002,-68.082062,Calacoto,169000.0,2,Venta,2009.0,bajo
0,4.0,0,3.0,200,0,-16.510332000000002,-68.127289,Sopocachi,180000.0,2,Venta,1970.0,moderado
0,2.0,0,3.0,115,0,-16.509584,-68.124123,San Jorge,125000.0,2,Venta,,muy bajo
0,3.0,0,3.0,110,1,-16.508557999999997,-68.128922,Sopocachi,160000.0,2,Venta,1993.0,moderado
0,2.0,0,3.0,158,1,-16.520025,-68.06440699999999,Achumani,166000.0,2,Venta,2016.0,alto
0,4.0,0,3.0,156,1,-16.517692999999998,-68.06189,Achumani,145000.0,2,Venta,2015.0,alto
0,2.0,0,2.0,86,1,-16.508474,-68.084724,Irpavi,82000.0,1,Venta,2018.0,moderado
0,4.0,0,3.0,154,1,-16.524199,-68.111603,Obrajes,210000.0,2,Venta,,bajo
0,3.0,0,3.0,150,1,-16.544538,-68.07324200000001,Los Pinos,143000.0,2,Venta,,moderado
0,4.0,0,3.0,182,1,-16.528,-68.070312,Achumani,220000.0,1,Venta,2016.0,alto
